encoded_feature,original_feature,mean_abs_shap
Source_INT: Abscess,Source,8.0696875e-05
Source_None Given,Source,8.0522725e-05
Source_INT: Other,Source,7.506551e-05
Source_Bodily Fluids: Feces/Stool,Source,7.408212e-05
Country_Hong Kong,Country,6.899206e-05
Source_GU: Urethra,Source,6.275862e-05
State_South Carolina,State,6.117924e-05
Country_Brazil,Country,5.7520287e-05
Source_Respiratory: Lungs,Source,5.232341e-05
State_Arkansas,State,4.9119048e-05
Source_GI: Large Colon,Source,4.47989e-05
Source_INT: Skin,Source,4.4758825e-05
State_Louisiana,State,4.280738e-05
State_Texas,State,4.203146e-05
State_Washington,State,4.1060444e-05
Source_GU: Kidneys,Source,3.495984e-05
Source_HEENT,Source,3.1473846e-05
Country_Nicaragua,Country,3.122634e-05
State_Illinois,State,3.111873e-05
State_Tennessee,State,2.870324e-05
Source_Bodily Fluids: Other,Source,2.5286254e-05
Source_Muscular: Muscle Tissue,Source,2.5250149e-05
Source_CVS: Other,Source,1.7044707e-05
Source_GI: Pancreas,Source,1.1362222e-05
Source_HEENT:Throat,Source,8.339947e-06
Source_Bodily Fluids: Exudate,Source,7.075477e-06
Source_Instruments: Other,Source,6.169599e-06
Country_Oman,Country,0.0
State_Kentucky,State,0.0
State_Colorado,State,0.0
State_Delaware,State,0.0
State_Hawaii,State,0.0
Country_Tunisia,Country,0.0
Country_Taiwan,Country,0.0
State_Alabama,State,0.0
Country_Singapore,Country,0.0
Country_Morocco,Country,0.0
Country_Lebanon,Country,0.0
Country_Japan,Country,0.0
Country_Jamaica,Country,0.0
Country_Puerto Rico,Country,0.0
State_North Carolina,State,0.0
State_Virginia,State,0.0
State_West Virginia,State,0.0
Source_Bodily Fluids: Pleural,Source,0.0
Source_Bodily Fluids: Aspirate,Source,0.0
State_New Mexico,State,0.0
State_New Hampshire,State,0.0
State_Ohio,State,0.0
Source_CardioVascular (CVS),Source,0.0
Source_GI: Diverticulum,Source,0.0
Source_HEENT: Other,Source,0.0
Source_INT: Cellulitis/Erysipelas,Source,0.0
Source_HEENT: Eyes,Source,0.0
Source_HEENT: Nose,Source,0.0
Source_Integumentary (INT),Source,0.0
Source_Reproductive: Testes,Source,0.0
Source_Reproductive,Source,0.0
Source_Respiratory,Source,0.0
Source_Skeletal: Bone,Source,0.0
