Year,Mean PSI,Median PSI,Max PSI,Features >=0.10,Features >=0.25
2014,0.253,0.077,0.915,3,3
2015,0.281,0.069,0.969,3,2
2016,0.29,0.071,0.802,3,3
2017,0.579,0.078,1.556,3,3
