,2014,2015,2016,2017
Country,0.3566,0.5677,0.5983,1.2423
State,0.3032,0.231,0.4295,1.0516
Gender,0.009,0.0058,0.0123,0.0097
Age Group,0.0503,0.0641,0.0709,0.0601
Speciality,0.0566,0.0693,0.0624,0.0779
Source,0.0772,0.0619,0.0543,0.0591
In / Out Patient,0.9148,0.9695,0.8016,1.5555
