bin,mean_predicted,observed_resistance,count
0.0-0.1,0.0772,0.0946,370
0.1-0.2,0.1537,0.1479,2191
0.2-0.3,0.2542,0.251,3554
0.3-0.4,0.3462,0.3393,4618
0.4-0.5,0.4429,0.4653,2478
0.5-0.6,0.5442,0.574,1345
0.6-0.7,0.648,0.6324,816
0.7-0.8,0.7334,0.7258,361
0.8-0.9,0.8495,0.8571,42
0.9-1.0,,,0
